Index Name,URL
Nifty 50,https://www.nseindia.com/products-services/indices-nifty50-index
Nifty Next 50,https://www.nseindia.com/products-services/indices-niftynext50-index
Nifty 100,https://www.nseindia.com/products-services/indices-nifty100-index
Nifty 200,https://www.nseindia.com/products-services/indices-nifty200-index
Nifty 500,https://www.nseindia.com/products-services/indices-nifty500-index
Nifty Midcap 50,https://www.nseindia.com/products-services/indices-niftymidcap50-index
NIFTY Midcap 100,https://www.nseindia.com/products-services/indices-niftymidcap100-index
NIFTY Smallcap 100,https://www.nseindia.com/products-services/indices-niftysmallcap100-index
Nifty50 Dividend Points,https://www.nseindia.com/products-services/indices-nifty50dividendpoints-index
Nifty Auto,https://www.nseindia.com/products-services/indices-niftyauto-index
Nifty Bank,https://www.nseindia.com/products-services/indices-niftybank-index
Nifty Energy,https://www.nseindia.com/products-services/indices-niftyenergy-index
Nifty Financial Services,https://www.nseindia.com/products-services/indices-niftyfinancialservices-index
Nifty FMCG,https://www.nseindia.com/products-services/indices-niftyfmcg-index
Nifty IT,https://www.nseindia.com/products-services/indices-niftyit-index
Nifty Media,https://www.nseindia.com/products-services/indices-niftymedia-index
Nifty Metal,https://www.nseindia.com/products-services/indices-niftymetal-index
Nifty MNC,https://www.nseindia.com/products-services/indices-niftymnc-index
Nifty Pharma,https://www.nseindia.com/products-services/indices-niftypharma-index
Nifty PSU Bank,https://www.nseindia.com/products-services/indices-niftypsubank-index
Nifty Realty,https://www.nseindia.com/products-services/indices-niftyrealty-index
Nifty India Consumption,https://www.nseindia.com/products-services/indices-niftyindiaconsumption-index
Nifty Commodities,https://www.nseindia.com/products-services/indices-niftycommodities-index
Nifty Dividend Opportunities 50,https://www.nseindia.com/products-services/indices-niftydividendopportunities50-index
Nifty Infrastructure,https://www.nseindia.com/products-services/indices-niftyinfrastructure-index
Nifty PSE,https://www.nseindia.com/products-services/indices-niftypse-index
Nifty Services Sector,https://www.nseindia.com/products-services/indices-niftyservicessector-index
Nifty50 Shariah,https://www.nseindia.com/products-services/indices-nifty50shariah-index
Nifty500 Shariah,https://www.nseindia.com/products-services/indices-nifty500shariah-index
Nifty Low Volatility 50,https://www.nseindia.com/products-services/indices-niftylowvolatility50-index
Nifty Alpha 50,https://www.nseindia.com/products-services/indices-niftyalpha50-index
Nifty High Beta 50,https://www.nseindia.com/products-services/indices-niftyhighbeta50-index
Nifty100 Equal Weight,https://www.nseindia.com/products-services/indices-nifty100equalweight-index
Nifty100 Liquid 15,https://www.nseindia.com/products-services/indices-nifty100liquid15-index
Nifty CPSE,https://www.nseindia.com/products-services/indices-niftycpse-index
Nifty50 Value 20,https://www.nseindia.com/products-services/indices-nifty50value20-index
Nifty Midcap Liquid 15,https://www.nseindia.com/products-services/indices-niftymidcapliquid15-index
Nifty Shariah 25,https://www.nseindia.com/products-services/indices-niftyshariah25-index
India VIX,https://www.nseindia.com/products-services/indices-indiavix-index
Nifty Growth Sectors 15,https://www.nseindia.com/products-services/indices-niftygrowthsectors15-index
Nifty50 TR 1x Inverse,https://www.nseindia.com/products-services/indices-nifty50tr1xinverse-index
Nifty50 TR 2x Leverage,https://www.nseindia.com/products-services/indices-nifty50tr2xleverage-index
Nifty50 PR 1x Inverse,https://www.nseindia.com/products-services/indices-nifty50pr1xinverse-index
Nifty50 PR 2x Leverage,https://www.nseindia.com/products-services/indices-nifty50pr2xleverage-index
NIFTY100 Quality 30,https://www.nseindia.com/products-services/indices-nifty100quality30-index
Nifty Top 10 Equal Weight,https://www.nseindia.com/products-services/indices-niftytop10equalweight-index
Nifty500 Multicap Momentum Quality 50,https://www.nseindia.com/products-services/indices-nifty500multicapmomentumquality50-index
Nifty Top 15 Equal Weight,https://www.nseindia.com/products-services/indices-niftytop15equalweight-index
Nifty Top 20 Equal Weight,https://www.nseindia.com/products-services/indices-niftytop20equalweight-index
Nifty500 Quality 50,https://www.nseindia.com/products-services/indices-nifty500quality50-index
Nifty500 Low Volatility 50,https://www.nseindia.com/products-services/indices-nifty500lowvolatility50-index
NIFTY100 ESG,https://www.nseindia.com/products-services/indices-nifty100esg-index
NIFTY100 Enhanced ESG,https://www.nseindia.com/products-services/indices-nifty100enhancedesg-index
NIFTY500 Value 50,https://www.nseindia.com/products-services/indices-nifty500value50-index
NIFTY100 Alpha 30,https://www.nseindia.com/products-services/indices-nifty100alpha30-index
NIFTY50 Equal Weight,https://www.nseindia.com/products-services/indices-nifty50equalweight-index
Nifty500 Equal Weight,https://www.nseindia.com/products-services/indices-nifty500equalweight-index
Nifty 50 Futures Index,https://www.nseindia.com/products-services/indices-nifty50futuresindex-index
Nifty 50 Arbitrage,https://www.nseindia.com/products-services/indices-nifty50arbitrage-index
Nifty 50 Futures TR Index,https://www.nseindia.com/products-services/indices-nifty50futurestrindex-index
Nifty India Corporate Group Index - Mahindra Group,https://www.nseindia.com/products-services/indices-niftyindiacorporategroupindexmahindragroup-index
Nifty India Corporate Group Index - Aditya Birla Group,https://www.nseindia.com/products-services/indices-niftyindiacorporategroupindexadityabirlagroup-index
Nifty India Corporate Group Index - Tata Group,https://www.nseindia.com/products-services/indices-niftyindiacorporategroupindextatagroup-index
Nifty India Corporate Group Index - Tata Group 25% Cap,https://www.nseindia.com/products-services/indices-niftyindiacorporategroupindextatagroup25cap-index
Nifty Private Bank,https://www.nseindia.com/products-services/indices-niftyprivatebank-index
Nifty Smallcap 250,https://www.nseindia.com/products-services/indices-niftysmallcap250-index
Nifty Smallcap 50,https://www.nseindia.com/products-services/indices-niftysmallcap50-index
Nifty Midcap 150,https://www.nseindia.com/products-services/indices-niftymidcap150-index
Nifty Midcap Select,https://www.nseindia.com/products-services/indices-niftymidcapselect-index
NIFTY LargeMidcap 250,https://www.nseindia.com/products-services/indices-niftylargemidcap250-index
NIFTY SME EMERGE,https://www.nseindia.com/products-services/indices-niftysmeemerge-index
Nifty Oil & Gas,https://www.nseindia.com/products-services/indices-niftyoilgas-index
Nifty Financial Services 25/50,https://www.nseindia.com/products-services/indices-niftyfinancialservices2550-index
Nifty Healthcare Index,https://www.nseindia.com/products-services/indices-niftyhealthcareindex-index
Nifty500 Multicap 50:25:25,https://www.nseindia.com/products-services/indices-nifty500multicap502525-index
Nifty Microcap 250,https://www.nseindia.com/products-services/indices-niftymicrocap250-index
Nifty Total Market,https://www.nseindia.com/products-services/indices-niftytotalmarket-index
Nifty India Digital,https://www.nseindia.com/products-services/indices-niftyindiadigital-index
Nifty Mobility,https://www.nseindia.com/products-services/indices-niftymobility-index
Nifty India Defence,https://www.nseindia.com/products-services/indices-niftyindiadefence-index
Nifty Financial Services Ex-Bank,https://www.nseindia.com/products-services/indices-niftyfinancialservicesexbank-index
Nifty Housing,https://www.nseindia.com/products-services/indices-niftyhousing-index
Nifty Transportation & Logistics,https://www.nseindia.com/products-services/indices-niftytransportationlogistics-index
Nifty MidSmall Financial Services,https://www.nseindia.com/products-services/indices-niftymidsmallfinancialservices-index
Nifty MidSmall Healthcare,https://www.nseindia.com/products-services/indices-niftymidsmallhealthcare-index
Nifty MidSmall IT & Telecom,https://www.nseindia.com/products-services/indices-niftymidsmallittelecom-index
Nifty MidSmall India Consumption,https://www.nseindia.com/products-services/indices-niftymidsmallindiaconsumption-index
Nifty REITs & InvITs,https://www.nseindia.com/products-services/indices-niftyreitsinvits-index
Nifty Core Housing,https://www.nseindia.com/products-services/indices-niftycorehousing-index
Nifty500 Multicap Infrastructure 50:30:20,https://www.nseindia.com/products-services/indices-nifty500multicapinfrastructure503020-index
Nifty Rural,https://www.nseindia.com/products-services/indices-niftyrural-index
Nifty Capital Markets,https://www.nseindia.com/products-services/indices-niftycapitalmarkets-index
Nifty India New Age Consumption,https://www.nseindia.com/products-services/indices-niftyindianewageconsumption-index
Nifty India Select 5 Corporate Groups (MAATR),https://www.nseindia.com/products-services/indices-niftyindiaselect5corporategroupsmaatr-index
Nifty India Railways PSU,https://www.nseindia.com/products-services/indices-niftyindiarailwayspsu-index
Nifty Consumer Durables,https://www.nseindia.com/products-services/indices-niftyconsumerdurables-index
Nifty Non-Cyclical Consumer,https://www.nseindia.com/products-services/indices-niftynoncyclicalconsumer-index
Nifty500 Multicap India Manufacturing 50:30:20,https://www.nseindia.com/products-services/indices-nifty500multicapindiamanufacturing503020-index
Nifty EV & New Age Automotive,https://www.nseindia.com/products-services/indices-niftyevnewageautomotive-index
Nifty500 LargeMidSmall Equal-Cap Weighted,https://www.nseindia.com/products-services/indices-nifty500largemidsmallequalcapweighted-index
Nifty India Tourism,https://www.nseindia.com/products-services/indices-niftyindiatourism-index
Nifty MidSmallcap 400,https://www.nseindia.com/products-services/indices-niftymidsmallcap400-index
Nifty IPO,https://www.nseindia.com/products-services/indices-niftyipo-index
Nifty India Internet & E-Commerce,https://www.nseindia.com/products-services/indices-niftyindiainternetecommerce-index
Nifty Chemicals,https://www.nseindia.com/products-services/indices-niftychemicals-index
Nifty500 Multifactor MQVLv 50,https://www.nseindia.com/products-services/indices-nifty500multifactormqvlv50-index
Nifty500 Flexicap Quality 30,https://www.nseindia.com/products-services/indices-nifty500flexicapquality30-index
NIFTY Alpha Low-Volatility 30,https://www.nseindia.com/products-services/indices-niftyalphalowvolatility30-index
Nifty100 Low Volatility 30,https://www.nseindia.com/products-services/indices-nifty100lowvolatility30-index
NIFTY Quality Low-Volatility 30,https://www.nseindia.com/products-services/indices-niftyqualitylowvolatility30-index
NIFTY Alpha Quality Low-Volatility 30,https://www.nseindia.com/products-services/indices-niftyalphaqualitylowvolatility30-index
NIFTY Alpha Quality Value Low-Volatility 30,https://www.nseindia.com/products-services/indices-niftyalphaqualityvaluelowvolatility30-index
NIFTY200 Quality 30,https://www.nseindia.com/products-services/indices-nifty200quality30-index
NIFTY Midcap150 Quality 50,https://www.nseindia.com/products-services/indices-niftymidcap150quality50-index
Nifty200 Momentum 30,https://www.nseindia.com/products-services/indices-nifty200momentum30-index
Nifty India Manufacturing,https://www.nseindia.com/products-services/indices-niftyindiamanufacturing-index
Nifty100 ESG Sector Leaders,https://www.nseindia.com/products-services/indices-nifty100esgsectorleaders-index
Nifty200 Alpha 30,https://www.nseindia.com/products-services/indices-nifty200alpha30-index
Nifty Midcap150 Momentum 50,https://www.nseindia.com/products-services/indices-niftymidcap150momentum50-index
Nifty Smallcap250 Quality 50,https://www.nseindia.com/products-services/indices-niftysmallcap250quality50-index
Nifty Smallcap250 Momentum Quality 100,https://www.nseindia.com/products-services/indices-niftysmallcap250momentumquality100-index
Nifty MidSmallcap400 Momentum Quality 100,https://www.nseindia.com/products-services/indices-niftymidsmallcap400momentumquality100-index
Nifty500 Momentum 50,https://www.nseindia.com/products-services/indices-nifty500momentum50-index
Nifty200 Value 30,https://www.nseindia.com/products-services/indices-nifty200value30-index
Nifty 8-13 yr G-Sec,https://www.nseindia.com/products-services/indices-nifty813yrgsec-index
Nifty 4-8 yr G-Sec Index,https://www.nseindia.com/products-services/indices-nifty48yrgsecindex-index
Nifty 11-15 yr G-Sec Index,https://www.nseindia.com/products-services/indices-nifty1115yrgsecindex-index
Nifty 15 yr and above G-Sec Index,https://www.nseindia.com/products-services/indices-nifty15yrandabovegsecindex-index
Nifty Composite G-sec Index,https://www.nseindia.com/products-services/indices-niftycompositegsecindex-index
Nifty 10 yr Benchmark G-Sec,https://www.nseindia.com/products-services/indices-nifty10yrbenchmarkgsec-index
Nifty 10 yr Benchmark G-Sec (Clean Price),https://www.nseindia.com/products-services/indices-nifty10yrbenchmarkgseccleanprice-index
Nifty BHARAT Bond Index - April 2030,https://www.nseindia.com/products-services/indices-niftybharatbondindexapril2030-index
Nifty BHARAT Bond Index - April 2031,https://www.nseindia.com/products-services/indices-niftybharatbondindexapril2031-index
Nifty BHARAT Bond Index - April 2032,https://www.nseindia.com/products-services/indices-niftybharatbondindexapril2032-index
Nifty BHARAT Bond Index - April 2033,https://www.nseindia.com/products-services/indices-niftybharatbondindexapril2033-index
Nifty 1D Rate Index,https://www.nseindia.com/products-services/indices-nifty1drateindex-index
Nifty50 USD,https://www.nseindia.com/products-services/indices-nifty50usd-index
